Timestamp,Admit Status,Ethnicity/Race ,"Are you a historically Underrepresented Ethnic Minority (URM)? [i.e. Black/African-American, Latinx/Chicanx, Filipinx, Native American/Indigenous, or Pacific Islander/Native Hawaiian]",Do you identify with being differently-abled or as a Disabled Student Program (DSP) student?,Gender,Sexual Orientation,"Do you identify as a historically underrepresented gender or sexuality [i.e. Cisgender Woman, Gender Queer, Gender Non-Conforming, Non-Binary, Transgender Man, Transgender Woman, Asexual, Androphilia, BI-Curious, Bisual, Gray Asexualtiy, Gynephilia, Homosexual, Non-Heterosexual, Pansexual, Polysexual, Queer, Etc.]",Current Year ,What Are You Majoring in?,How Many Majors Are You Planning?,How Many Minors Are You Planning?,Socioeconomic Class,Club/Student Organization Involvement,Club Participation per Week,"When Joining Clubs/Student Organizations, Did You Have Any Knowledge in the Clubs'/Student Organizations' Subject Matter?",How Would You Rate the Climate of Clubs/Student Organizations at BERKELEY?,How Would You Rate the Climate of Clubs/Student Organizations YOU ARE IN?,How Would You Rate the Inclusiveness of Clubs/Student Organizations at BERKELEY? ,How Would You Rate the Inclusiveness of the Clubs/Student Organizations that YOU ARE IN? ,Do You Feel Welcome at Berkeley?,Do You Feel as if You Are Part of the Berkeley Community?,Do You Feel as if You Are Part of the Berkeley Engineering Community?,Do You Feel Safe at Berkeley?
4/2/2020 10:07:08,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Computer Science,Single Major,One Minor,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,3,5,4,4,3,4
4/2/2020 10:09:15,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),Electrical Engineering and Computer Science,Single Major,Two Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,3,4,5,5,4,4
4/2/2020 10:11:24,Fall Admit - Freshmen,Latinx/Chicanx,Yes,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),Industrial Engineering and Operations Research,Single Major,No Minors,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,5,3,5,4,5,4,3
4/2/2020 10:11:50,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Heterosexual,No,Sophmore (Undergraduate),"Business, Electrical Engineering and Computer Science",Double Major,One Minor,"Working Class ($45,000 to $98,999)",3 - 4 Clubs/Student Organizations,2 - 3 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,4,2,5,4,4,3,3
4/2/2020 10:12:48,Fall Admit - Freshmen,South-East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),"Chemical Engineering, Materials Science and Engineering",Double Major,One Minor,"New Money ($150,000 to $199,999)",3 - 4 Clubs/Student Organizations,6 - 7 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,4,4,4,4,4,3
4/2/2020 10:15:01,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Decline to say,No,Freshman (Undergraduate),Chemical Engineering,Single Major,One Minor,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),1 - 2 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,4,1,3,3,3,2,4
4/2/2020 10:20:03,Fall Admit - Freshmen,South Asian,Yes,No,Decline to say,Decline to say,No,Freshman (Undergraduate),Chemical Engineering,Single Major,No Minors,Decline to say,3 - 4 Clubs/Student Organizations,7 - 8 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,4,1,4,5,5,4,3
4/2/2020 10:23:00,Fall Admit - Freshmen,East Asian,No,No,Cisgender Woman,Heterosexual,Yes,Junior (Undergraduate),Electrical Engineering and Computer Science,Single Major,No Minors,"Working Class ($45,000 to $98,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),3,5,3,4,4,3,3,4
4/2/2020 10:24:05,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Woman,Heterosexual,No,Freshman (Undergraduate),Civil and Environmental Engineering,Single Major,No Minors,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,3 - 4 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),4,5,4,5,5,5,5,5
4/2/2020 10:26:46,Fall Admit - Freshmen,White/Caucasian,No,No,Cisgender Woman,Heterosexual,Yes,Senior (Undergraduate),Bioengineering,Single Major,One Minor,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),2 - 3 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),4,5,3,4,4,4,4,5
4/2/2020 10:26:49,Fall Admit - Freshmen,Latinx/Chicanx,Yes,No,female,Homosexual,No,Sophmore (Undergraduate),Bioengineering,Single Major,No Minors,"New Money ($150,000 to $199,999)",1 - 2 Club(s)/Student Organization(s),5 - 6 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),4,5,4,5,5,4,4,4
4/2/2020 11:06:56,Fall Admit - Freshmen,South-East Asian,Yes,No,Cisgender Woman,Bisexual,Yes,Junior (Undergraduate),Industrial Engineering and Operations Research,Single Major,No Minors,"Middle Class ($99,000 to $149,999)",1 - 2 Club(s)/Student Organization(s),4 - 5 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),2,5,2,4,4,5,5,4
4/2/2020 11:08:05,Fall Admit - Freshmen,"Latinx/Chicanx, East Asian, White/Caucasian",Yes,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),Civil and Environmental Engineering,Single Major,No Minors,"Upper Class (>$200,000)",3 - 4 Clubs/Student Organizations,4 - 5 Hours,I Had an Intermediate Amount of Knowledge of the Subject Matter. (51 - 80%),3,5,3,5,5,5,5,5
4/2/2020 11:08:39,Fall Admit - Freshmen,South Asian,No,No,Cisgender Woman,Heterosexual,Yes,Freshman (Undergraduate),"Computer Science, Economics",Double Major,No Minors,"Upper Class (>$200,000)",1 - 2 Club(s)/Student Organization(s),3 - 4 Hours,I Had Some Knowledge of the Subject Matter. (16 - 50%),5,5,5,5,5,5,5,5
